0,2.586453468,2.62660017,20073.351
1,2.586503457,2.62660019,20048.367
2,2.586553453,2.626600209,20023.378
3,2.586603458,2.626600233,19998.388
4,2.586653456,2.626600252,19973.398
5,2.586703456,2.626600274,19948.409
6,2.586753449,2.626600293,19923.422
7,2.586803454,2.626600315,19898.431
8,2.586853468,2.626600333,19873.433
9,2.586903453,2.626600353,19848.45
10,2.586953456,2.626600373,19823.459
11,2.587003455,2.626600393,19798.469
12,2.587053454,2.626600412,19773.479
13,2.587103456,2.626600434,19748.489
14,2.587153455,2.626600455,19723.5
15,2.587203455,2.626600475,19698.51
16,2.587253453,2.626600495,19673.521
17,2.587303452,2.626600514,19648.531
18,2.587353456,2.626600536,19623.54
19,2.587403454,2.632251437,22423.991
20,2.58745345,2.632251499,22399.025
21,2.587503454,2.632251596,22374.071
22,2.587553452,2.632251657,22349.102
23,2.587603452,2.632251714,22324.131
24,2.587653455,2.632251772,22299.158
25,2.587703456,2.63225183,22274.187
26,2.587753453,2.632333507,22290.027
27,2.587803453,2.632333649,22265.098
28,2.587853453,2.632333702,22240.124
29,2.587903455,2.632333771,22215.158
30,2.58795345,2.632333842,22190.196
31,2.588003451,2.6323339,22165.224
32,2.588053449,2.632333947,22140.249
33,2.588103454,2.632334001,22115.274
34,2.588153453,2.632334062,22090.304
35,2.588203454,2.63233409,22065.318
36,2.588253452,2.632334141,22040.344
37,2.588303448,2.632334187,22015.37
38,2.588353444,2.632334234,21990.395
39,2.588403448,2.632334285,21965.418
40,2.588453444,2.632334347,21940.451
41,2.588503449,2.632334394,21915.473
42,2.588553444,2.632334439,21890.497
43,2.588603451,2.632334495,21865.522
44,2.588653451,2.63233455,21840.55
45,2.588703445,2.632334609,21815.582
46,2.588753443,2.632334668,21790.613
47,2.588803444,2.632334724,21765.64
48,2.588853441,2.63233478,21740.669
49,2.588903446,2.632334828,21715.691
50,2.588953441,2.632334853,21690.706
51,2.589003443,2.632334904,21665.731
52,2.589053441,2.632334964,21640.762
53,2.589103444,2.632335028,21615.792
54,2.589153443,2.632335074,21590.815
55,2.589203442,2.632335099,21565.828
56,2.589253443,2.632335145,21540.851
57,2.589303443,2.632335194,21515.876
58,2.589353444,2.632335249,21490.902
59,2.589403445,2.632335289,21465.922
60,2.589453442,2.632335339,21440.949
61,2.589503438,2.63233539,21415.976
62,2.58955344,2.632335437,21390.998
63,2.589603445,2.632335484,21366.02
64,2.58965344,2.632335523,21341.041
65,2.589703445,2.632335574,21316.065
66,2.589753444,2.632335616,21291.086
67,2.589803441,2.632335662,21266.111
68,2.589853439,2.632335718,21241.139
69,2.589903443,2.632335774,21216.165
70,2.58995344,2.632335832,21191.196
71,2.590003442,2.632335891,21166.225
72,2.590053437,2.632335932,21141.248
73,2.590103437,2.632335991,21116.277
74,2.590153442,2.632336039,21091.299
75,2.590203443,2.632336094,21066.326
76,2.59025344,2.632336152,21041.356
77,2.590303442,2.632336199,21016.379
78,2.590353448,2.632336244,20991.398
79,2.590403438,2.632336286,20966.424
80,2.590453437,2.632336348,20941.456
81,2.590503437,2.632336404,20916.484
82,2.590553435,2.63233643,20891.498
83,2.590603438,2.632336489,20866.526
84,2.590653439,2.632336535,20841.548
85,2.59070344,2.632336562,20816.561
86,2.590753436,2.632336608,20791.586
87,2.590803434,2.632336655,20766.61
88,2.590853436,2.632336701,20741.632
89,2.590903436,2.632336726,20716.645
90,2.590953437,2.632336778,20691.67
91,2.591003438,2.632336822,20666.692
92,2.591053435,2.632336879,20641.722
93,2.591103433,2.632336908,20616.737
94,2.591153432,2.632336954,20591.761
95,2.591203433,2.632336981,20566.774
96,2.591253435,2.632337022,20541.793
97,2.591303433,2.632337077,20516.822
98,2.591353433,2.632337127,20491.847
99,2.591403436,2.632337173,20466.868
100,2.591453437,2.632337218,20441.89
101,2.591503437,2.632337277,20416.92
102,2.591553432,2.632337322,20391.945
103,2.591603432,2.632337369,20366.969
104,2.591653437,2.632337425,20341.994
105,2.591703435,2.632337469,20317.017
106,2.591753432,2.632337506,20292.037
107,2.591803431,2.632337552,20267.061
108,2.591853437,2.63233761,20242.087
109,2.591903432,2.632337635,20217.101
110,2.591953432,2.632337687,20192.127
111,2.592003431,2.632337744,20167.156
112,2.59205343,2.632337787,20142.178
113,2.59210343,2.632337831,20117.2
114,2.592153435,2.632337892,20092.228
115,2.592203435,2.632337938,20067.251
116,2.592253431,2.632337984,20042.277
117,2.592303429,2.632338027,20017.299
118,2.592353428,2.632338052,19992.312
119,2.592403427,2.6323381,19967.336
120,2.592453432,2.632338142,19942.355
121,2.592503428,2.632338203,19917.388
122,2.592553433,2.632338229,19892.398
123,2.592603431,2.632338272,19867.421
124,2.592653429,2.632338327,19842.449
125,2.592703432,2.632338388,19817.478
126,2.592753427,2.632338442,19792.507
127,2.592803425,2.632338502,19767.539
128,2.592853425,2.632338549,19742.562
129,2.592903432,2.632338596,19717.582
130,2.592953429,2.63233864,19692.605
131,2.593003427,2.632373371,19684.972
132,2.593053426,2.632373497,19660.036
133,2.593103427,2.63237357,19635.071
134,2.593153429,2.632373617,19610.094
135,2.593203428,2.632373645,19585.109
136,2.593253426,2.632373701,19560.138
137,2.593303427,2.632373749,19535.161
138,2.593353429,2.632373802,19510.187
139,2.593403429,2.632373858,19485.214
140,2.593453424,2.632373899,19460.237
141,2.593503424,2.632373947,19435.261
142,2.593553422,2.632373993,19410.286
143,2.593603423,2.632374038,19385.308
144,2.593653424,2.632374085,19360.33
145,2.593703425,2.63237413,19335.352
146,2.593753424,2.632374171,19310.373
