PING 192.168.4.2 (192.168.4.2) 56(84) bytes of data.
64 bytes from 192.168.4.2: icmp_seq=82 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=83 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=84 ttl=255 time=19.3 ms
64 bytes from 192.168.4.2: icmp_seq=85 ttl=255 time=18.3 ms
64 bytes from 192.168.4.2: icmp_seq=86 ttl=255 time=17.3 ms
64 bytes from 192.168.4.2: icmp_seq=87 ttl=255 time=16.2 ms
64 bytes from 192.168.4.2: icmp_seq=88 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=89 ttl=255 time=19.2 ms
64 bytes from 192.168.4.2: icmp_seq=90 ttl=255 time=18.1 ms
64 bytes from 192.168.4.2: icmp_seq=91 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=92 ttl=255 time=16.2 ms
64 bytes from 192.168.4.2: icmp_seq=93 ttl=255 time=20.3 ms
64 bytes from 192.168.4.2: icmp_seq=94 ttl=255 time=19.2 ms
64 bytes from 192.168.4.2: icmp_seq=95 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=96 ttl=255 time=17.3 ms
64 bytes from 192.168.4.2: icmp_seq=97 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=98 ttl=255 time=20.3 ms
64 bytes from 192.168.4.2: icmp_seq=99 ttl=255 time=24.8 ms
64 bytes from 192.168.4.2: icmp_seq=100 ttl=255 time=18.1 ms
64 bytes from 192.168.4.2: icmp_seq=101 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=102 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=103 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=104 ttl=255 time=19.3 ms
64 bytes from 192.168.4.2: icmp_seq=105 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=106 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=107 ttl=255 time=16.2 ms
64 bytes from 192.168.4.2: icmp_seq=108 ttl=255 time=25.7 ms
64 bytes from 192.168.4.2: icmp_seq=109 ttl=255 time=19.3 ms
64 bytes from 192.168.4.2: icmp_seq=110 ttl=255 time=18.3 ms
64 bytes from 192.168.4.2: icmp_seq=111 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=112 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=113 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=114 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=115 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=116 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=117 ttl=255 time=19.2 ms
64 bytes from 192.168.4.2: icmp_seq=118 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=119 ttl=255 time=17.3 ms
64 bytes from 192.168.4.2: icmp_seq=120 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=121 ttl=255 time=20.3 ms
64 bytes from 192.168.4.2: icmp_seq=122 ttl=255 time=19.3 ms
64 bytes from 192.168.4.2: icmp_seq=123 ttl=255 time=18.1 ms
64 bytes from 192.168.4.2: icmp_seq=124 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=125 ttl=255 time=16.2 ms
64 bytes from 192.168.4.2: icmp_seq=126 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=127 ttl=255 time=19.2 ms
64 bytes from 192.168.4.2: icmp_seq=128 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=129 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=130 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=131 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=132 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=133 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=134 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=135 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=136 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=137 ttl=255 time=17.4 ms
